"","Team.x","Player","Value","Position.x","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls_Per_Minutes","Age.x.x","Apps.x","Season.x","Comp.x","Nation.x","PK","Gls","Ast","G+A","xG_Expected.x","xAG_Expected","Sh_Standard","SoT_percent_Standard"
"121","Stuttgart ","Enzo Millot",4.2e+07,"MF",NA,27,2241,24.9,0.2,22,NA,"2023-2024","Bundesliga","FRA",1,5,4,9,5.3,3.9,38,44.7
"122","Bayern München ","Benjamin Pavard",4e+07,"DF",0,0,NA,NA,NA,28,NA,"2023-2024","Bundesliga","FRA",NA,NA,NA,NA,NA,NA,NA,NA
"123","Bayer Leverkusen ","Álex Grimaldo",4e+07,"DF",33,31,2784,30.9,0.32,29,NA,"2023-2024","Bundesliga","ESP",0,10,13,23,5.7,9.1,71,32.4
"124","Bayer Leverkusen ","Edmond Tapsoba",4e+07,"DF",28,23,2087,23.2,0,25,NA,"2023-2024","Bundesliga","BFA",0,0,1,1,1,1,12,8.3
"125","Bayer Leverkusen ","Exequiel Palacios",4e+07,"MF",24,21,1831,20.3,0.2,26,NA,"2023-2024","Bundesliga","ARG",2,4,4,8,3.3,3.8,19,21.1
"126","Borussia Dortmund ","Gregor Kobel",4e+07,"GK",27,27,2365,26.3,0,26,NA,"2023-2024","Bundesliga","SUI",0,0,0,0,0,0,0,NA
"127","Borussia Dortmund ","Nico Schlotterbeck",4e+07,"DF",33,32,2859,31.8,0.06,24,NA,"2023-2024","Bundesliga","GER",0,2,1,3,3,1.9,27,22.2
"128","Eintracht Frankfurt ","Willian Pacho",4e+07,"DF",33,33,2970,33,0,23,NA,"2023-2024","Bundesliga","ECU",0,0,3,3,1.2,1.1,10,20
"129","Bayer Leverkusen ","Piero Hincapié",4e+07,"DF",26,16,1484,16.5,0.06,22,NA,"2023-2024","Bundesliga","ECU",0,1,2,3,1.9,0.5,18,33.3
"130","Eintracht Frankfurt ","Hugo Ekitike",4e+07,"FW",14,7,716,8,0.5,22,NA,"2023-2024","Bundesliga","FRA",0,4,2,6,2.4,1.7,30,30
"131","Bayern München ","Kingsley Coman",3.5e+07,"FW",17,15,1113,12.4,0.24,28,NA,"2023-2024","Bundesliga","FRA",0,3,3,6,2.8,3.8,34,23.5
"132","Borussia Dortmund ","Julian Brandt",3.5e+07,"MF",32,26,2223,24.7,0.28,28,NA,"2023-2024","Bundesliga","GER",0,7,11,18,4.4,9.5,33,48.5
"133","Borussia Dortmund ","Karim Adeyemi",3.5e+07,"FW",21,10,913,10.1,0.3,22,NA,"2023-2024","Bundesliga","GER",0,3,1,4,3.5,2,23,43.5
"134","Eintracht Frankfurt ","Hugo Larsson",3.5e+07,"MF",29,21,1886,21,0.1,20,NA,"2023-2024","Bundesliga","SWE",0,2,1,3,1.3,1.4,10,40
"135","Bayern München ","Serge Gnabry",3.5e+07,"FW",10,5,432,4.8,0.62,29,NA,"2023-2024","Bundesliga","GER",0,3,1,4,2.4,1.2,17,35.3
"136","Bayern München ","Noussair Mazraoui",3.2e+07,"DF",19,15,1197,13.3,0,26,NA,"2023-2024","Bundesliga","MAR",0,0,3,3,0.9,1.8,12,25
"137","Stuttgart ","Angelo Stiller",3.2e+07,"MF",NA,30,2694,29.9,0.03,23,NA,"2023-2024","Bundesliga","GER",0,1,5,6,1.6,5.1,16,18.8
"138","Stuttgart ","Angelo Stiller",3.2e+07,"MF",NA,30,2694,29.9,0.03,23,NA,"2023-2024","Bundesliga","GER",0,1,5,6,1.6,5.1,2,50
"139","Stuttgart ","Angelo Stiller",3.2e+07,"MF",1,1,84,0.9,0,23,NA,"2023-2024","Bundesliga","GER",0,0,0,0,0.1,0,16,18.8
"140","Stuttgart ","Angelo Stiller",3.2e+07,"MF",1,1,84,0.9,0,23,NA,"2023-2024","Bundesliga","GER",0,0,0,0,0.1,0,2,50
"141","Borussia Dortmund ","Ian Maatsen",3.2e+07,"DF",16,15,1264,14,0.14,22,NA,"2023-2024","Bundesliga","NED",0,2,2,4,0.9,1.4,11,36.4
"142","Bayern München ","Mathys Tel",3e+07,"FW",30,6,1050,11.7,0.6,19,NA,"2023-2024","Bundesliga","FRA",0,7,5,12,3.7,2.3,43,41.9
"143","Bayer Leverkusen ","Jonathan Tah",3e+07,"DF",31,30,2631,29.2,0.14,28,NA,"2023-2024","Bundesliga","GER",0,4,1,5,2.1,0.3,26,38.5
"144","Hoffenheim ","Maximilian Beier",3e+07,"FW",33,29,2420,26.9,0.6,22,NA,"2023-2024","Bundesliga","GER",0,16,1,17,11.4,2.4,82,47.6
"145","Stuttgart ","Hiroki Ito",3e+07,"DF",NA,25,2228,24.8,0,25,NA,"2023-2024","Bundesliga","JPN",0,0,2,2,0.9,2,18,22.2
"146","Eintracht Frankfurt ","Randal Kolo Muani",3e+07,"FW",2,2,153,1.7,0.59,25,NA,"2023-2024","Bundesliga","FRA",0,1,0,1,1.3,0,5,20
"147","Borussia Dortmund ","Jadon Sancho",3e+07,"FW",14,11,947,10.5,0.19,24,NA,"2023-2024","Bundesliga","ENG",0,2,2,4,0.7,3,9,44.4
"148","RB Leipzig ","Mohamed Simakan",2.8e+07,"DF",32,23,2138,23.8,0.08,24,NA,"2023-2024","Bundesliga","FRA",0,2,3,5,3.9,3.3,30,36.7
"149","RB Leipzig ","Xaver Schlager",2.8e+07,"MF",29,29,2477,27.5,0,27,NA,"2023-2024","Bundesliga","AUT",0,0,5,5,1.1,2.6,21,14.3
"150","Augsburg ","Ermedin Demirović",2.8e+07,"FW",33,33,2873,31.9,0.47,26,NA,"2023-2024","Bundesliga","BIH",3,15,9,24,13.5,3.9,77,41.6
"151","Borussia Dortmund ","Donyell Malen",2.8e+07,"FW",27,21,1781,19.8,0.66,25,NA,"2023-2024","Bundesliga","NED",0,13,1,14,9.5,3,72,50
"152","Borussia Dortmund ","Felix Nmecha",2.8e+07,"MF",20,10,1021,11.3,0.09,24,NA,"2023-2024","Bundesliga","GER",0,1,2,3,1.7,0.9,23,13
"153","Real Madrid ","Jude Bellingham",1.8e+08,"MF",28,27,2315,25.7,0.74,21,28,"2023-2024","La Liga","ENG",1,19,6,25,11.1,5.3,62,54.8
"154","FC Barcelona ","Lamine Yamal",1.8e+08,"FW",37,22,2201,24.5,0.2,17,37,"2023-2024","La Liga","ESP",0,5,5,10,5.2,6.2,58,36.2
"155","Real Madrid ","Federico Valverde",1.3e+08,"MF",37,33,2904,32.3,0.06,26,37,"2023-2024","La Liga","URU",0,2,7,9,3.5,5.8,56,32.1
"156","Real Madrid ","Rodrygo",1e+08,"FW",34,28,2380,26.4,0.38,23,34,"2023-2024","La Liga","BRA",0,10,5,15,11.7,4,86,40.7
"157","FC Barcelona ","Pedri",1e+08,"MF",24,16,1476,16.4,0.24,21,24,"2023-2024","La Liga","ESP",0,4,2,6,3.1,4.2,15,46.7
"158","Real Madrid ","Aurélien Tchouaméni",8e+07,"MF",27,22,1987,22.1,0.14,24,27,"2023-2024","La Liga","FRA",0,3,1,4,1.3,0.9,27,25.9
"159","Real Madrid ","Eduardo Camavinga",8e+07,"MF",31,21,1817,20.2,0,22,31,"2023-2024","La Liga","FRA",0,0,2,2,0.9,1.4,17,41.2
"160","FC Barcelona ","Raphinha",8e+07,"FW",28,17,1368,15.2,0.39,28,28,"2023-2024","La Liga","BRA",1,6,9,15,7.4,5.7,58,34.5
"161","FC Barcelona ","Gavi",8e+07,"MF",12,10,944,10.5,0.1,20,12,"2023-2024","La Liga","ESP",0,1,1,2,0.9,1.1,9,44.4
"162","Athletic Club Bilbao ","Nico Williams",7e+07,"FW",31,29,2263,25.1,0.2,22,31,"2023-2024","La Liga","ESP",0,5,11,16,6,5.7,56,33.9
"163","FC Barcelona ","Pau Cubarsí",7e+07,"DF",19,18,1558,17.3,0,17,19,"2023-2024","La Liga","ESP",0,0,0,0,0.1,0.4,3,0
"164","Real Sociedad ","Martín Zubimendi",6e+07,"MF",NA,29,2654,29.5,0.14,25,31,"2023-2024","La Liga","ESP",0,4,1,5,2.7,1.5,22,50
"165","FC Barcelona ","Jules Koundé",6e+07,"DF",35,32,2899,32.2,0.03,26,35,"2023-2024","La Liga","FRA",0,1,2,3,2,2.2,24,25
"166","Girona FC ","Sávio",5.5e+07,"FW",37,35,2976,33.1,0.27,20,37,"2023-2024","La Liga","BRA",0,9,10,19,6.1,7.9,45,44.4
"167","FC Barcelona ","Ronald Araújo",5.5e+07,"DF",25,21,1997,22.2,0.05,25,25,"2023-2024","La Liga","URU",0,1,2,3,2.1,1.4,23,39.1
"168","Athletic Club Bilbao ","Oihan Sancet",5e+07,"MF",30,25,1975,21.9,0.18,24,30,"2023-2024","La Liga","ESP",0,4,5,9,6.3,4.7,41,26.8
"169","FC Barcelona ","Alejandro Balde",5e+07,"DF",18,15,1378,15.3,0,21,18,"2023-2024","La Liga","ESP",0,0,1,1,0.1,1.2,5,20
"170","Atlético Madrid ","Pablo Barrios",5e+07,"MF",24,17,1555,17.3,0,21,24,"2023-2024","La Liga","ESP",0,0,1,1,0.9,1.9,17,41.2
"171","Deportivo Alavés ","Samu Omorodion",5e+07,"FW",34,21,1918,21.3,0.38,20,35,"2023-2024","La Liga","ESP",0,8,1,9,10.8,1.3,64,37.5
"172","Deportivo Alavés ","Samu Omorodion",5e+07,"FW",34,21,1918,21.3,0.38,20,35,"2023-2024","La Liga","ESP",0,8,1,9,10.8,1.3,3,66.7
"173","Deportivo Alavés ","Samu Omorodion",5e+07,"FW",1,1,80,0.9,1.13,20,35,"2023-2024","La Liga","ESP",0,1,0,1,0.7,0,64,37.5
"174","Deportivo Alavés ","Samu Omorodion",5e+07,"FW",1,1,80,0.9,1.13,20,35,"2023-2024","La Liga","ESP",0,1,0,1,0.7,0,3,66.7
"175","FC Barcelona ","Frenkie de Jong",4.5e+07,"MF",20,20,1634,18.2,0.11,27,20,"2023-2024","La Liga","NED",0,2,0,2,0.7,2.2,7,57.1
"176","Real Sociedad ","Mikel Merino",4.5e+07,"MF",NA,27,2482,27.6,0.18,28,32,"2023-2024","La Liga","ESP",0,5,3,8,3.3,1.9,30,36.7
"177","Valencia CF ","Giorgi Mamardashvili",4e+07,"GK",37,37,3284,36.5,0,24,37,"2023-2024","La Liga","GEO",0,0,0,0,0,0.4,0,NA
"178","Real Sociedad ","Robin Le Normand",4e+07,"DF",NA,28,2469,27.4,0.07,28,29,"2023-2024","La Liga","ESP",0,2,0,2,1,0.1,8,62.5
"179","Real Sociedad ","Takefusa Kubo",4e+07,"FW",NA,24,2150,23.9,0.29,23,30,"2023-2024","La Liga","JPN",0,7,4,11,3.5,6.4,46,45.7
"180","Real Madrid ","Éder Militão",4e+07,"DF",10,6,496,5.5,0,26,10,"2023-2024","La Liga","BRA",0,0,0,0,0.1,0,2,100
"181","Real Sociedad ","Brais Méndez",3.5e+07,"MF",NA,27,2413,26.8,0.19,27,32,"2023-2024","La Liga","ESP",0,5,6,11,4.2,4.2,66,22.7
"182","Real Sociedad ","Mikel Oyarzabal",3.5e+07,"FW",NA,23,2156,24,0.38,27,33,"2023-2024","La Liga","ESP",2,9,3,12,9.1,1.7,38,42.1
"183","Getafe CF ","Mason Greenwood",3.5e+07,"MF",33,30,2662,29.6,0.27,23,33,"2023-2024","La Liga","ENG",2,8,6,14,8.8,4.6,99,31.3
"184","Girona FC ","Artem Dovbyk",3e+07,"FW",36,32,2587,28.7,0.83,27,36,"2023-2024","La Liga","UKR",7,24,8,32,24.2,6.2,77,46.8
"185","FC Barcelona ","João Félix",3e+07,"FW",30,18,1540,17.1,0.41,25,30,"2023-2024","La Liga","POR",0,7,3,10,8.7,3.1,61,41
"186","FC Barcelona ","João Félix",3e+07,"FW",0,0,NA,NA,NA,25,30,"2023-2024","La Liga","POR",NA,NA,NA,NA,NA,NA,61,41
"187","Valencia CF ","Cristhian Mosquera",3e+07,"DF",36,33,3075,34.2,0,20,36,"2023-2024","La Liga","ESP",0,0,0,0,0.7,0,9,22.2
"188","Athletic Club Bilbao ","Unai Simón",2.8e+07,"GK",36,36,3182,35.4,0,27,36,"2023-2024","La Liga","ESP",0,0,0,0,0,0,0,NA
"189","FC Barcelona ","Ferrán Torres",2.8e+07,"FW",29,12,1211,13.5,0.52,24,29,"2023-2024","La Liga","ESP",0,7,2,9,5.5,2.7,38,39.5
"190","Atlético Madrid ","Marcos Llorente",2.8e+07,"MF",37,29,2565,28.5,0.21,29,37,"2023-2024","La Liga","ESP",0,6,4,10,4.1,5.6,30,63.3
"191","Celta de Vigo ","Jørgen Strand Larsen",2.7e+07,"FW",37,36,2863,31.8,0.41,24,37,"2023-2024","La Liga","NOR",0,13,3,16,14.5,2.5,82,42.7
"192","Real Sociedad ","Álex Remiro",2.5e+07,"GK",NA,37,3275,36.4,0,29,37,"2023-2024","La Liga","ESP",0,0,0,0,0,0,0,NA
"193","Girona FC ","Miguel Gutiérrez",2.5e+07,"DF",35,35,3032,33.7,0.06,23,35,"2023-2024","La Liga","ESP",0,2,7,9,2.8,7.5,34,14.7
"194","Girona FC ","Yan Couto",2.5e+07,"DF",34,24,2245,24.9,0.04,22,34,"2023-2024","La Liga","BRA",0,1,8,9,1.5,4.2,29,37.9
"195","Villarreal ","Alexander Sørloth",2.5e+07,"FW",34,30,2489,27.7,0.83,28,34,"2023-2024","La Liga","NOR",0,23,6,29,12.3,4.4,78,46.2
"196","Atlético Madrid ","Jan Oblak",2.5e+07,"GK",38,38,3420,38,0,31,38,"2023-2024","La Liga","SVN",0,0,0,0,0,0,0,NA
"197","Atlético Madrid ","Rodrigo De Paul",2.5e+07,"MF",34,25,2075,23.1,0.13,30,34,"2023-2024","La Liga","ARG",0,3,5,8,1.8,5,30,40
"198","Inter Milan ","Lautaro Martínez",1e+08,"FW",33,31,2656,29.5,0.81,27,NA,"2023-2024","Serie A","ARG",2,24,3,27,17.6,3.6,105,41.9
"199","Napoli ","Khvicha Kvaratskhelia",8.5e+07,"MF",34,32,2737,30.4,0.36,23,NA,"2023-2024","Serie A","GEO",0,11,6,17,11.1,6.8,128,35.2
"200","Inter Milan ","Nicolò Barella",8e+07,"MF",37,34,2846,31.6,0.06,27,NA,"2023-2024","Serie A","ITA",0,2,3,5,5.1,3.4,40,30
"201","Napoli ","Victor Osimhen",7.5e+07,"FW",25,22,1982,22,0.68,25,NA,"2023-2024","Serie A","NGA",3,15,3,18,15.4,3.1,85,42.4
"202","Inter Milan ","Alessandro Bastoni",7.5e+07,"DF",28,28,2268,25.2,0.04,25,NA,"2023-2024","Serie A","ITA",0,1,3,4,1.2,3.4,15,40
"203","Inter Milan ","Marcus Thuram",7.5e+07,"FW",35,34,2687,29.9,0.44,27,NA,"2023-2024","Serie A","FRA",0,13,7,20,14.3,3.7,77,37.7
"204","AC Milan ","Rafael Leão",7.5e+07,"FW",NA,29,2512,27.9,0.32,25,NA,"2023-2024","Serie A","POR",0,9,9,18,10,9.1,70,34.3
"205","Inter Milan ","Federico Dimarco",6e+07,"DF",30,29,2077,23.1,0.22,27,NA,"2023-2024","Serie A","ITA",0,5,6,11,2.9,8.5,51,37.3
"206","Juventus ","Gleison Bremer",6e+07,"DF",36,36,3233,35.9,0.08,27,NA,"2023-2024","Serie A","BRA",0,3,0,3,1.4,0.4,18,22.2
"207","Juventus ","Dušan Vlahović",6e+07,"FW",33,27,2307,25.6,0.62,24,NA,"2023-2024","Serie A","SRB",2,16,4,20,16.6,2.3,106,33
"208","Atalanta ","Ademola Lookman",5.5e+07,"FW",NA,22,1894,21,0.52,27,NA,"2023-2024","Serie A","NGA",0,11,7,18,9.1,5.2,67,35.8
"209","Atalanta ","Teun Koopmeiners",5e+07,"MF",NA,29,2627,29.2,0.41,26,NA,"2023-2024","Serie A","NED",2,12,5,17,6.5,5.9,52,30.8
"210","Atalanta ","Éderson",5e+07,"MF",NA,32,2869,31.9,0.19,25,NA,"2023-2024","Serie A","BRA",0,6,1,7,3.5,1.4,38,28.9
"211","AC Milan ","Theo Hernández",5e+07,"DF",NA,31,2791,31,0.16,27,NA,"2023-2024","Serie A","FRA",1,5,4,9,4.9,4.3,55,29.1
"212","AC Milan ","Christian Pulisic",5e+07,"MF",NA,32,2602,28.9,0.42,26,NA,"2023-2024","Serie A","USA",0,12,8,20,8,4.8,65,47.7
"213","Atalanta ","Giorgio Scalvini",4.5e+07,"DF",NA,31,2544,28.3,0.04,20,NA,"2023-2024","Serie A","ITA",0,1,3,4,1.4,1.1,19,31.6
"214","Juventus ","Kenan Yıldız",4.5e+07,"MF",27,9,952,10.6,0.19,19,NA,"2023-2024","Serie A","TUR",0,2,0,2,1.6,1.1,19,36.8
"215","Torino ","Alessandro Buongiorno",4.5e+07,"DF",NA,29,2527,28.1,0.11,25,NA,"2023-2024","Serie A","ITA",0,3,0,3,1.6,0.1,13,46.2
"216","Bologna ","Riccardo Calafiori",4.5e+07,"DF",NA,26,2349,26.1,0.08,22,NA,"2023-2024","Serie A","ITA",0,2,5,7,1.4,1.2,17,35.3
"217","Bologna ","Joshua Zirkzee",4.2e+07,"FW",NA,32,2759,30.7,0.36,23,NA,"2023-2024","Serie A","NED",2,11,4,15,9,5.2,84,34.5
"218","Inter Milan ","Hakan Çalhanoğlu",4e+07,"MF",32,32,2556,28.4,0.46,30,NA,"2023-2024","Serie A","TUR",10,13,3,16,10.1,4.7,52,25
"219","Juventus ","Andrea Cambiaso",4e+07,"DF",34,28,2372,26.4,0.08,24,NA,"2023-2024","Serie A","ITA",0,2,3,5,2.2,3.9,29,27.6
"220","Inter Milan ","Benjamin Pavard",4e+07,"DF",23,21,1672,18.6,0,28,NA,"2023-2024","Serie A","FRA",0,0,2,2,0.7,1.4,15,33.3
"221","Atalanta ","Charles De Ketelaere",3.8e+07,"MF",NA,25,2026,22.5,0.44,23,NA,"2023-2024","Serie A","BEL",1,10,8,18,7.1,6.1,44,54.5
"222","Genoa ","Mateo Retegui",3.5e+07,"FW",29,26,2216,24.6,0.28,25,NA,"2023-2024","Serie A","ITA",1,7,2,9,5.8,0.7,62,35.5
"223","Fiorentina ","Nicolás González",3.5e+07,"MF",29,21,1913,21.3,0.56,26,NA,"2023-2024","Serie A","ARG",1,12,2,14,10.4,1.6,84,39.3
"224","AC Milan ","Mike Maignan",3.5e+07,"GK",NA,29,2609,29,0,29,NA,"2023-2024","Serie A","FRA",0,0,1,1,0,0.3,0,NA
"225","Inter Milan ","Davide Frattesi",3.2e+07,"MF",32,6,955,10.6,0.57,25,NA,"2023-2024","Serie A","ITA",0,6,3,9,7.1,1.9,32,40.6
"226","Inter Milan ","Yann Aurel Bisseck",3e+07,"DF",16,9,904,10,0.2,23,NA,"2023-2024","Serie A","GER",0,2,0,2,0.9,0.5,12,33.3
"227","Atalanta ","Gianluca Scamacca",3e+07,"FW",NA,17,1453,16.1,0.74,25,NA,"2023-2024","Serie A","ITA",0,12,6,18,6.5,3.9,60,43.3
"228","Atalanta ","Isak Hien",3e+07,"MF",NA,9,937,10.4,0,25,NA,"2023-2024","Serie A","SWE",0,0,1,1,0.2,0.1,4,50
"229","Atalanta ","Isak Hien",3e+07,"MF",NA,9,937,10.4,0,25,NA,"2023-2024","Serie A","SWE",0,0,1,1,0.2,0.1,4,25
"230","Atalanta ","Isak Hien",3e+07,"MF",10,9,864,9.6,0,25,NA,"2023-2024","Serie A","SWE",0,0,0,0,0.4,0,4,50
"231","Atalanta ","Isak Hien",3e+07,"MF",10,9,864,9.6,0,25,NA,"2023-2024","Serie A","SWE",0,0,0,0,0.4,0,4,25
"232","Juventus ","Moise Kean",3e+07,"FW",19,8,654,7.3,0,24,NA,"2023-2024","Serie A","ITA",0,0,0,0,2.1,0.7,16,18.8
"233","Napoli ","Stanislav Lobotka",2.8e+07,"MF",38,38,3282,36.5,0,29,NA,"2023-2024","Serie A","SVK",0,0,1,1,0.6,1.3,14,28.6
"234","Juventus ","Manuel Locatelli",2.8e+07,"MF",36,34,3008,33.4,0.03,26,NA,"2023-2024","Serie A","ITA",0,1,4,5,1.3,1.4,24,12.5
"235","Lazio ","Mario Gila",2.8e+07,"DF",21,21,1809,20.1,0,24,NA,"2023-2024","Serie A","ESP",0,0,0,0,0.5,0.5,8,25
"236","Torino ","Samuele Ricci",2.8e+07,"MF",NA,28,2395,26.6,0.04,23,NA,"2023-2024","Serie A","ITA",0,1,2,3,1.3,2.3,30,16.7
"237","AC Milan ","Pierre Kalulu",2.6e+07,"DF",NA,4,374,4.2,0,24,NA,"2023-2024","Serie A","FRA",0,0,0,0,0.1,0.1,2,0
"238","Genoa ","Radu Drăgușin",2.5e+07,"DF",19,19,1710,19,0.11,22,NA,"2023-2024","Serie A","ROU",0,2,1,3,1,0.8,17,23.5
"239","Fiorentina ","Nikola Milenković",2.5e+07,"DF",34,27,2510,27.9,0,27,NA,"2023-2024","Serie A","SRB",0,0,0,0,0.4,0.7,10,30
"240","Juventus ","Adrien Rabiot",2.5e+07,"MF",31,30,2651,29.5,0.17,29,NA,"2023-2024","Serie A","FRA",0,5,3,8,3.5,4.1,38,42.1
"241","Juventus ","Federico Gatti",2.5e+07,"DF",32,30,2637,29.3,0.14,26,NA,"2023-2024","Serie A","ITA",0,4,0,4,5.5,1.5,35,20
"242","Lazio ","Nicolò Rovella",2.5e+07,"MF",23,16,1318,14.6,0,22,NA,"2023-2024","Serie A","ITA",0,0,2,2,0.6,0.5,5,20
"243","Bologna ","Dan Ndoye",2.5e+07,"FW",NA,20,1771,19.7,0.05,24,NA,"2023-2024","Serie A","SUI",0,1,1,2,4.9,1.8,41,39
"244","Roma ","Romelu Lukaku",2.5e+07,"FW",NA,30,2641,29.3,0.44,31,NA,"2023-2024","Serie A","BEL",0,13,3,16,9.8,2.4,64,42.2
