Team,Player,Value,Position,Age,Position,
KRC Genk ,Bilal El Khannous,30000000,MF,20,MF,
Club Brugge ,Antonio Nusa,28000000,MF,19,MF,
KRC Genk ,Daniel Muñoz,25000000,DF,28,DF,
Royal Antwerp FC ,Arthur Vermeeren,25000000,MF,19,MF,
KAA Gent ,Malick Fofana,25000000,FW,19,FW,
Club Brugge ,Igor Thiago,25000000,FW,23,FW,
RSC Anderlecht ,Zeno Debast,24000000,MF,21,MF,
Union Saint-Gilloise ,Mohamed Amoura,22000000,MF,24,MF,
Club Brugge ,Joel Ordóñez,18000000,DF,20,DF,
Club Brugge ,Raphael Onyedika,16000000,DF,23,DF,
Club Brugge ,Andreas Skov Olsen,16000000,MF,24,MF,
Royal Antwerp FC ,George Ilenikhena,15000000,FW,18,FW,
RSC Anderlecht ,Mario Stroeykens,14000000,MF,20,MF,
Cercle Brugge ,Ahoueke Denkey,14000000,MF,23,MF,
RSC Anderlecht ,Kasper Dolberg,13000000,FW,27,FW,
Union Saint-Gilloise ,Cameron Puertas,12000000,MF,26,MF,
Club Brugge ,Maxim De Cuyper,12000000,DF,23,DF,
Royal Antwerp FC ,Mandela Keita,11000000,MF,22,MF,
Union Saint-Gilloise ,Koki Machida,10000000,DF,27,DF,
RSC Anderlecht ,Anders Dreyer,10000000,FW,26,FW,
KRC Genk ,Zakaria El Ouahdi,10000000,FW,22,FW,
KRC Genk ,Bryan Heynen,10000000,MF,27,MF,
KRC Genk ,Joseph Paintsil,10000000,MF,26,MF,
KRC Genk ,Mike Trésor,10000000,FW,25,FW,
KAA Gent ,Gift Orban,10000000,FW,22,FW,
KV Mechelen ,Ngal'ayel Mukau,10000000,MF,20,MF,
Sint-Truiden ,Matte Smets,10000000,MF,20,MF,
Union Saint-Gilloise ,Senne Lynen,9000000,MF,25,MF,
KRC Genk ,Tolu Arokodare,9000000,FW,23,FW,
KAA Gent ,Tsuyoshi Watanabe,9000000,DF,27,DF,
Royal Antwerp FC ,Soumaïla Coulibaly,9000000,DF,21,DF,
Sint-Truiden ,Zion Suzuki,9000000,GK,22,GK,
KRC Genk ,Maarten Vandevoordt,8000000,GK,22,GK,
Royal Antwerp FC ,Zeno Van Den Bosch,8000000,DF,21,DF,
Royal Antwerp FC ,Vincent Janssen,8000000,FW,30,FW,
KAA Gent ,Hugo Cuypers,8000000,FW,27,FW,
Club Brugge ,Tajon Buchanan,8000000,FW,25,FW,
Sint-Truiden ,Jarne Steuckers,8000000,MF,22,MF,
Union Saint-Gilloise ,Noah Sadiki,8000000,MF,19,MF,
KAA Gent ,Archie Brown,8000000,DF,22,DF,
RWDM ,Mamadou Sarr,8000000,DF,19,DF,
Union Saint-Gilloise ,Gustaf Nilsson,7000000,FW,27,FW,
Royal Antwerp FC ,Jacob Ondrejka,7000000,MF,22,MF,
Royal Antwerp FC ,Michel Ange Balikwisha,7000000,FW,23,FW,
KAA Gent ,Julien De Sart,7000000,MF,29,MF,
KRC Genk ,Konstantinos Karetsas,7000000,MF,16,MF,
Club Brugge ,Joaquin Seys,7000000,DF,19,DF,
Union Saint-Gilloise ,Kevin Mac Allister,6000000,DF,27,DF,
RSC Anderlecht ,Killian Sardella,6000000,DF,22,DF,
KRC Genk ,Mark McKenzie,6000000,DF,25,DF,